,False,,,,    https://www.target.com/p/franklin-sports-pop-up-3-75-x2-75-soccer-goal-set/-/A-10021777
    wall-pops-wallpaper-stickers-45-tangier-blox,False,35.99,A-10950334,,    https://www.target.com/p/wall-pops-wallpaper-stickers-45-tangier-blox/-/A-10950334
    tovolo-groovy-popsicle-molds-set-of-6,False,11.99,A-11043792,,    https://www.target.com/p/tovolo-groovy-popsicle-molds-set-of-6/-/A-11043792
    alpha-bugs-a-pop-up-alphabet-hardcover-david-a-carter,False,11.69,A-11319191,,    https://www.target.com/p/alpha-bugs-a-pop-up-alphabet-hardcover-david-a-carter/-/A-11319191
    alice-s-adventures-in-wonderland-a-pop-up-adaptation-of-lewis-carroll-s-original-tale-hardcover,False,25.49,A-11319409,,    https://www.target.com/p/alice-s-adventures-in-wonderland-a-pop-up-adaptation-of-lewis-carroll-s-original-tale-hardcover/-/A-11319409
    halloween-bugs-a-trick-or-treat-pop-up-hardcover-david-a-carter,False,11.69,A-11319540,,    https://www.target.com/p/halloween-bugs-a-trick-or-treat-pop-up-hardcover-david-a-carter/-/A-11319540
    dinosaurs-before-dark-magic-tree-house-paperback-by-mary-pope-osborne,False,4.99,A-11340182,,    https://www.target.com/p/dinosaurs-before-dark-magic-tree-house-paperback-by-mary-pope-osborne/-/A-11340182
    pope-joan-paperback-by-donna-woolfolk-cross,False,12.00,A-11398542,,    https://www.target.com/p/pope-joan-paperback-by-donna-woolfolk-cross/-/A-11398542
    a-good-night-for-ghosts-magic-tree-house-hardcover-by-mary-pope-osborne,False,12.99,A-11553492,,    https://www.target.com/p/a-good-night-for-ghosts-magic-tree-house-hardcover-by-mary-pope-osborne/-/A-11553492
    thanksgiving-on-thursday-magic-tree-house-paperback-by-mary-pope-osborne,False,5.99,A-11578869,,    https://www.target.com/p/thanksgiving-on-thursday-magic-tree-house-paperback-by-mary-pope-osborne/-/A-11578869
    kid-who-invented-the-popsicle-and-other-surprising-stories-about-inventions-reprint-paperback-don,False,5.99,A-11719767,,    https://www.target.com/p/kid-who-invented-the-popsicle-and-other-surprising-stories-about-inventions-reprint-paperback-don/-/A-11719767
    wide-mouthed-frog-a-pop-up-book-school-and-library-keith-faulkner,False,14.24,A-11807622,,    https://www.target.com/p/wide-mouthed-frog-a-pop-up-book-school-and-library-keith-faulkner/-/A-11807622
    acid-bath-when-the-kite-string-pops-explicit-lyrics-cd,False,11.19,A-11884910,,    https://www.target.com/p/acid-bath-when-the-kite-string-pops-explicit-lyrics-cd/-/A-11884910
    mary-poppins-paperback,False,11.04,A-12067810,,    https://www.target.com/p/mary-poppins-paperback/-/A-12067810
    various-pure-swamp-pop-gold-vol-10-cd,False,14.59,A-12204712,,    https://www.target.com/p/various-pure-swamp-pop-gold-vol-10-cd/-/A-12204712
    games-and-puzzles-from-the-treehouse-magic-tree-house-paperback-by-mary-pope-osborne,False,6.99,A-12252854,,    https://www.target.com/p/games-and-puzzles-from-the-treehouse-magic-tree-house-paperback-by-mary-pope-osborne/-/A-12252854
    more-life-size-zoo-lion-hippopotamus-polar-bear-and-more-an-all-new-actual-size-animal-encyclopedia,False,17.05,A-12299959,,    https://www.target.com/p/more-life-size-zoo-lion-hippopotamus-polar-bear-and-more-an-all-new-actual-size-animal-encyclopedia/-/A-12299959
