name,instockprice,,pid,image,url
    canyon-silver-side-stool,False,23.99,A-10017607,,    https://www.target.com/p/canyon-silver-side-stool/-/A-10017607
    lounge-lizard-sack-black,False,29.95,A-10017660,,    https://www.target.com/p/lounge-lizard-sack-black/-/A-10017660
    franklin-sports-pop-up-3-75-x2-75-soccer-goal-set,False,45.49,A-10021777,,    https://www.target.com/p/franklin-sports-pop-up-3-75-x2-75-soccer-goal-set/-/A-10021777
    3-tier-trolley-silver-metal-ore-international,False,69.99,A-10047402,,    https://www.target.com/p/3-tier-trolley-silver-metal-ore-international/-/A-10047402
    nok-hockey-miniature-pool-and-hockey-game,False,40.99,A-10048877,,    https://www.target.com/p/nok-hockey-miniature-pool-and-hockey-game/-/A-10048877
    carrom-board-game,False,36.99,A-10048879,,    https://www.target.com/p/carrom-board-game/-/A-10048879
    hamilton-beach-toastation-45-black-22708h,False,44.99,A-10051512,,    https://www.target.com/p/hamilton-beach-toastation-45-black-22708h/-/A-10051512
    halo-sleepsack-100-cotton-wearable-blanket-soft-pink-small,False,19.99,A-10054367,,    https://www.target.com/p/halo-sleepsack-100-cotton-wearable-blanket-soft-pink-small/-/A-10054367
    sog-specialty-knives-tools-m37-seal-pup,False,45.49,A-10057008,,    https://www.target.com/p/sog-specialty-knives-tools-m37-seal-pup/-/A-10057008
    sog-specialty-knives-tools-fsa-7-flash-i,False,38.99,A-10057016,,    https://www.target.com/p/sog-specialty-knives-tools-fsa-7-flash-i/-/A-10057016
    hawkeye-handheld-portable-depth-finder-with-temperature,False,70.99,A-10058074,,    https://www.target.com/p/hawkeye-handheld-portable-depth-finder-with-temperature/-/A-10058074
    park-sun-sports-174-6x6-steel-lacrosse-goal,False,99.99,A-10058677,,    https://www.target.com/p/park-sun-sports-174-6x6-steel-lacrosse-goal/-/A-10058677
    park-sun-sports-174-tournament-flex-volleyball-set-with-multiple-height-settings,False,173.99,A-10058689,,    https://www.target.com/p/park-sun-sports-174-tournament-flex-volleyball-set-with-multiple-height-settings/-/A-10058689
    park-sun-sports-174-pro-400-steel-cable-volleyball-net-39-x-32,False,133.99,A-10058700,,    https://www.target.com/p/park-sun-sports-174-pro-400-steel-cable-volleyball-net-39-x-32/-/A-10058700
    boys-valiant-knight-costume,False,20.99,A-10062381,,    https://www.target.com/p/boys-valiant-knight-costume/-/A-10062381
    melissa-doug-174-geometric-stacker-wooden-educational-toy,False,16.49,A-10076312,,    https://www.target.com/p/melissa-doug-174-geometric-stacker-wooden-educational-toy/-/A-10076312
    vinyl-zippered-mattress-cover-white-full-room-essentials-153,False,7.34,A-10107583,,    https://www.target.com/p/vinyl-zippered-mattress-cover-white-full-room-essentials-153/-/A-10107583
    vinyl-zippered-mattress-cover-white-twin-room-essentials-153,False,6.28,A-10107584,,    https://www.target.com/p/vinyl-zippered-mattress-cover-white-twin-room-essentials-153/-/A-10107584
    babybj-246-rn-baby-carrier-original-black,False,79.99,A-10118021,,    https://www.target.com/p/babybj-246-rn-baby-carrier-original-black/-/A-10118021
    presto-174-16-electric-skillet-06852,False,44.99,A-10146094,,    https://www.target.com/p/presto-174-16-electric-skillet-06852/-/A-10146094
    jl-childress-wheelie-car-seat-travel-bag,False,43.99,A-10152573,,    https://www.target.com/p/jl-childress-wheelie-car-seat-travel-bag/-/A-10152573
    kitchen-faucet-with-lever-chrome-kingston-brass,False,114.29,A-10154573,,    https://www.target.com/p/kitchen-faucet-with-lever-chrome-kingston-brass/-/A-10154573
    kingston-9-showerhead-with-2-function-spray-chrome-kingston-brass,False,41.49,A-10154585,,    https://www.target.com/p/kingston-9-showerhead-with-2-function-spray-chrome-kingston-brass/-/A-10154585
    prevue-pet-products-cockatiel-scrollwork-bird-cage-medium,False,71.99,A-10158760,,    https://www.target.com/p/prevue-pet-products-cockatiel-scrollwork-bird-cage-medium/-/A-10158760
    prevue-pet-products-cockatiel-triple-roof-bird-cage-white-blue-medium,False,49.99,A-10159299,,    https://www.target.com/p/prevue-pet-products-cockatiel-triple-roof-bird-cage-white-blue-medium/-/A-10159299
    us-games-pack-soccer-ball-hawaiian-print,False,26.99,A-10159912,,    https://www.target.com/p/us-games-pack-soccer-ball-hawaiian-print/-/A-10159912
    pillo-hockey-complete-set,False,103.99,A-10160338,,    https://www.target.com/p/pillo-hockey-complete-set/-/A-10160338
    floor-hockey-junior-set,False,82.99,A-10160884,,    https://www.target.com/p/floor-hockey-junior-set/-/A-10160884
    voit-ncaa-lacrosse-balls-45-yellow,False,34.99,A-10160993,,    https://www.target.com/p/voit-ncaa-lacrosse-balls-45-yellow/-/A-10160993
    neck-workout-machine-45-gray,False,406.99,A-10163353,,    https://www.target.com/p/neck-workout-machine-45-gray/-/A-10163353
    alec-rush-bar-stool-hardwood-set-of-2-winsome,False,406.99,A-10186782,,    https://www.target.com/p/alec-rush-bar-stool-hardwood-set-of-2-winsome/-/A-10186782
